id,artist_name,album_name,image_url,release_date,total_tracks
0hnwu9WUcXrL23w5WPrbOX,Modest Mouse,The Golden Casket,https://i.scdn.co/image/ab67616d00001e022416b406e0189c838c939bcf,2021-06-25,12
6iKqPv9C5oU29LR82N8lJf,Modest Mouse,Strangers to Ourselves,https://i.scdn.co/image/ab67616d00001e02ec0240f3581605ecae347c76,2015-03-13,15
2lXBCL76UL5PCPbfAqKBkz,Modest Mouse,We Were Dead Before The Ship Even Sank,https://i.scdn.co/image/ab67616d00001e02ed8a70a92499e619895646e8,2007-03-20,14
1jSTXHarvMPAUDuNCC8B9H,Modest Mouse,Baron Von Bullshit Rides Again,https://i.scdn.co/image/ab67616d00001e02bca897e548afce575f1660fc,2004-04-06,10
0TGTGuc2vXv6ZECoAf52N0,Modest Mouse,Good News For People Who Love Bad News,https://i.scdn.co/image/ab67616d00001e02cc68329bfbf34037df965dc1,2004-04-05,16
30BLhkeaIgQ9EdvxnocCB6,Modest Mouse,Sad Sappy Sucker,https://i.scdn.co/image/ab67616d00001e02f70395784775be1d949a1808,2001-04-24,24
5SbcupirEParczvqqyUPXL,Modest Mouse,The Moon & Antarctica,https://i.scdn.co/image/ab67616d00001e028f7128431367ce70f773651c,2000-06-13,15
2fzFo9ypJRRla1N2IYOoQP,Modest Mouse,Building Nothing Out of Something,https://i.scdn.co/image/ab67616d00001e027bbcb94c9c076a133188bdbd,2000-01-18,12
5mvHTVy1iUIkAflIufoOpj,Modest Mouse,The Lonesome Crowded West,https://i.scdn.co/image/ab67616d00001e026d36f5f881bb591a529e259b,1997-11-18,15
3PTktNuj2FItJr8afuiieo,Modest Mouse,This Is a Long Drive for Someone with Nothing to Think About,https://i.scdn.co/image/ab67616d00001e02384c4e86d7001ca9f10808db,1996-04-16,16
